Date,CA,Alameda,Amador,Butte,Calaveras,Contra-Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba
1/1/90,194952,226148.9,0,102142.75,0,0,0,0,82083.13,0,79641.89,85892,0,0,0,215337.93,0,346153,0,140000,83889,93291,233333,178888,0,231273.89,182220,0,136832.04,123000,0,128806,180484,287499,105000,227522.36,0,273071.29,271840,250000,0,0,0,174022,0,0,0,0,86999.3,0,250410,0,0
2/1/90,196273,219306,0,83333,0,0,0,0,87186.78,0,83571.07,80294,0,0,0,208399.12,0,338333,0,116665.83,77499,0,187856,186363,0,233655.58,182630,0,136021.27,126900,0,124545,180714,300877,102500,236377.26,0,259668.43,273100,261607,0,0,0,180294,0,0,0,0,84374.56,0,235760,0,0
3/1/90,194856,225162,0,100000,0,0,0,0,83888.5,0,88888,87758,0,0,0,208134.86,0,358571,0,111428,85909,0,230555,180000,0,242312.5,179470,0,135835.18,127500,0,127017,183701,290151,117692,216010.04,0,253300.99,275500,260577,0,0,0,178823,0,0,0,0,84210.11,0,240320,0,0
4/1/90,196111,229333,0,107999.6,0,0,0,0,85428.03,0,83499.65,80323,0,0,0,219003.99,0,359574,0,133332.67,84285,0,238095,158571,0,239380.49,200000,0,134629.07,135500,0,131485,181567,288725,112692,189245.54,0,217363.23,274660,255263,0,0,0,184117,0,0,0,0,88927.68,0,230620,0,0
5/1/90,195281,232291,0,100000,0,0,0,0,88749.13,0,79061.59,86562,0,0,0,209065.02,0,374999,0,138749.06,100000,0,259375,187692,0,256401.38,194610,0,140823.47,138000,0,130538,180794,282626,112778,199325.05,0,227608.9,266670,262500,0,0,0,185844,0,0,0,0,85999.4,0,235320,0,0
6/1/90,194410,231250,0,123043.33,0,0,0,0,87999.2,0,94545,87499,0,0,0,210605.9,0,394185,0,145999.7,92000,0,190833,177332,0,244364.42,187600,0,139951.65,142000,0,130769,186733,305738,112666,223021.33,0,269120.62,276960,238461,0,0,0,185333,0,0,0,0,88332.5,0,242310,0,0
7/1/90,193088,232916,0,113570.75,0,0,0,0,91346.02,0,107691.92,88780,0,0,0,225250.71,0,357291,0,163999.8,116249,0,196363,184166,0,236108.84,183890,0,143126.61,145000,0,131481,185861,296195,106999,213109.55,0,234261.37,273600,234722,0,0,0,185333,0,0,0,0,94411.32,0,236920,0,0
8/1/90,192180,228467,0,113332.67,0,0,0,0,95178.05,0,94444,86477,0,0,0,213478.49,0,365217,0,143333.17,97222,0,208823,172499,0,234907.66,205450,0,143827.17,142000,0,129601,185639,284523,118076,233726.96,0,210623.35,273340,269078,0,0,0,180270,0,0,0,0,92083.13,0,231200,0,0
9/1/90,189979,225000,0,117499.13,0,0,0,0,92499.75,0,93999.6,92812,0,0,0,211552,0,337500,0,147499.63,96999,0,192000,177499,0,226249.95,189170,0,144070.08,139000,0,126497,186272,278301,111667,206346.23,0,214462.49,258060,256250,0,0,0,182308,0,0,0,0,83749.63,0,239930,0,0
10/1/90,187630,221093,0,127142.5,0,0,0,0,96891.2,0,91249.88,87386,0,0,0,207801.38,0,351851,0,125999.7,105000,0,192727,197777,0,229611.74,185710,0,139775.12,136700,0,126666,179444,272500,122143,174676.9,0,214053.99,253470,245833,0,0,0,183414,0,0,0,0,90000,0,238220,0,0
11/1/90,192020,226126,0,117999.1,0,0,0,0,96052.03,0,88124.19,87999,0,0,0,202716.81,0,330000,0,148332.92,106363,0,209091,189090,0,227481.41,207890,0,141311.39,135500,0,133596,176980,281249,119705,172781.85,0,223154.36,257450,247916,0,0,0,178153,0,0,0,0,87999.2,0,231760,0,0
12/1/90,190375,218161,0,125333.07,0,0,0,0,87682.16,0,90555.5,84259,0,0,0,212855.46,0,325000,0,131999.4,92500,0,200000,185000,0,228531.58,184000,0,139513.13,130000,0,127787,181470,272777,109374,194089.51,0,228503.26,254720,239062,0,0,0,174615,0,0,0,0,72856.86,0,234910,0,0
1/1/91,192054,216532,0,118332.42,0,0,0,0,97856.36,0,96666,87999,0,0,0,197706.41,0,313461,0,129999.5,95833,0,209615,168333,0,226792.84,180000,0,137570.79,130700,0,131428,182000,270161,108461,206321.06,328889,213881.33,247250,0,0,0,0,178461,0,0,0,0,84444,0,225000,0,0
2/1/91,194806,222896,0,121333.27,0,0,0,0,96666,0,89499.05,88333,0,0,0,199157.2,0,312500,0,133332.67,108749,0,222500,170000,0,226397.88,172730,0,134639.47,131000,0,130000,178888,270714,110000,203524.95,285256,219147.96,243870,253750,0,0,0,182857,0,0,0,0,103181.66,0,228030,0,0
3/1/91,202666,221768,0,122999.85,0,0,0,0,91363.5,0,96874.31,85370,0,0,0,207939.68,0,350000,0,146666.33,102500,0,193333,165555,0,234876.58,170910,0,137606.56,137000,0,134416,183111,268055,112083,190807.97,317910,248073.48,248560,244230,0,0,0,183469,0,0,0,0,91666.5,0,223080,0,0
4/1/91,207718,233192,0,118749.06,0,0,0,0,92499.75,0,105454.27,89614,0,0,0,213442.45,0,341666,0,0,109166,0,235000,185000,0,235077.55,180000,0,134523.76,140000,0,133377,183114,279941,120417,196248.38,319101,276408.63,262460,242499,0,0,0,179195,0,0,0,0,95384.08,0,230730,0,0
5/1/91,211001,239885,0,127894.34,0,0,0,0,98938.5,0,105833.04,89832,0,0,0,218891.85,0,346938,0,136665.83,100000,0,222580,181000,0,240531.92,171050,0,139903.17,139000,0,134810,188732,280319,120000,197628.03,333474,225076.48,268780,246527,0,0,0,184038,0,0,0,0,92307.46,0,227360,0,0
6/1/91,206722,229129,0,120714.25,0,0,0,0,97023.11,0,102499.88,91136,0,0,0,224055.04,0,367021,0,134999.25,103750,0,189230,186666,0,237572.95,187270,0,141512.12,136800,0,132513,188509,291666,120000,225433.01,338938,252992.99,277450,261538,0,0,0,191607,0,0,0,0,90909,0,241180,0,0
7/1/91,206069,234042,0,113570.75,0,0,0,0,100232.55,0,110832.79,94594,0,0,0,230028.04,0,347272,0,141999.9,104545,0,227778,187272,0,237555.39,182220,0,145494.79,140000,0,140294,190000,294339,123500,192916.43,334183,241405,268200,250000,0,0,0,191304,0,0,0,0,93571.07,0,229230,0,0
8/1/91,200340,231551,0,120499.98,0,0,0,0,98408.25,0,103749.81,95000,0,0,0,220857.52,0,350000,0,144285.5,112857,0,216071,185384,0,236436.79,182140,0,147167.1,139900,0,132409,198522,286499,115999,208609.1,356185,223946.75,267250,253409,0,0,0,195384,0,0,0,0,90000,0,235380,0,0
9/1/91,197801,224811,0,117856.25,0,0,0,0,98973.46,0,93333,94714,0,0,0,231449.07,0,347368,0,140000,101428,0,181667,210000,0,235668.04,171670,0,150449.45,135000,0,135063,181046,278921,125000,192589.34,327118,185123.64,251220,256731,0,0,0,196666,0,0,0,0,100000,0,236140,0,0
10/1/91,196021,221656,0,98332.5,0,0,0,0,103695.47,0,110713.75,92000,0,0,0,209255.51,0,342307,0,113749.31,96666,0,195624,185000,0,229203.16,182500,0,143245.05,135000,0,137631,183088,275862,124500,175512.64,323750,229466.35,250000,238888,0,0,0,190893,0,0,0,0,89229.85,0,232540,0,0
11/1/91,194192,221098,0,120624.97,0,0,0,0,97499.25,0,104999.75,92045,0,0,0,202237.29,0,367856,0,180000,103571,0,215000,200000,0,234984.28,170560,0,147575.55,130000,0,132325,181639,282608,110455,188412.07,331666,257453.37,245980,249218,0,0,0,190513,0,0,0,0,98213.46,0,228070,0,0
12/1/91,199452,228195,0,124545.23,0,0,0,0,93946.97,0,94999.5,89047,0,0,0,222829.24,0,355882,0,141666.58,98928,0,200000,183333,0,239190.37,167500,0,138861.18,135000,0,134469,188817,279310,114285,189331.4,310606,217757,256250,240972,0,0,0,197692,0,0,0,0,91666.5,0,227220,0,0
1/1/92,196410,212500,0,122307.58,0,0,0,0,91363.5,0,103333.17,85833,0,0,0,213951.09,0,346428,0,131249.44,108124,0,200000,188571,0,222302.18,179370,0,142836.44,134000,0,136021,182978,267262,117999,218777.52,300000,214115.76,245060,255000,0,111666.08,0,193548,114166,0,0,0,95999.4,0,225900,0,0
2/1/92,198220,213194,0,128888.44,0,0,0,0,99641.89,0,96110.5,89249,0,0,0,207017.98,0,293478,0,137999.1,107142,0,182500,194999,0,220655,173330,0,143202,135000,0,135342,177884,268750,116999,222113.71,322807,247231.6,243370,247708,0,74999.5,0,195806,112857,0,0,0,100000,0,221200,0,0
3/1/92,200500,222837,0,115453.77,0,0,0,0,97570.67,0,104999.75,95799,0,0,0,218844.3,0,364062,0,143333.17,108124,0,216666,200000,0,230395.33,177500,0,140770.06,132500,0,134592,187428,272222,111786,175300.33,326190,249053.64,251680,247115,0,76249.38,0,198666,116086,0,0,0,102352.82,0,222340,0,0
4/1/92,198700,226946,0,122692.17,0,0,0,0,98224.98,0,110713.75,91750,0,0,0,211762.37,0,315454,0,144999.75,100667,0,216304,189285,0,226305.42,165310,0,137914.59,133500,0,138428,182727,281418,119444,175157.9,300000,240990.3,254670,258593,0,75999.4,0,198867,115714,0,0,0,96666,0,228900,0,0
5/1/92,203420,221220,0,117367.55,0,0,0,0,101636.28,0,106874.66,87592,0,0,0,204440.09,0,350000,0,138999.05,101500,0,191000,185000,0,237872.01,184740,0,140050.88,132000,0,136619,190481,277419,125357,180780.97,324609,227995.11,267120,243303,0,84999.5,0,205063,118999,0,0,0,98570.57,0,221100,0,0
6/1/92,199460,229885,0,122608.57,0,0,0,0,103399.83,0,112173.3,87833,0,0,0,211278.13,0,342045,0,120000,102857,0,193500,189090,0,229516.11,190000,0,144140.71,133000,0,133521,182937,288207,115909,196843.76,332692,253103.27,256010,235000,0,82856.86,0,207353,119486,0,0,0,90000,0,219910,0,0
7/1/92,199150,222153,0,115554.78,0,0,0,0,99826.6,0,109999.5,92353,0,0,0,221819.56,0,350925,0,126666.33,105000,0,200833,203125,0,225313.07,176250,0,146234.08,132000,0,137449,188218,275819,117727,185883.35,336315,240191.93,253540,243478,0,101111.06,0,195686,113600,0,0,0,95499.45,0,234460,0,0
8/1/92,194670,223511,0,111578.37,0,0,0,0,96963.59,0,109166.21,91842,0,0,0,212099.29,0,369736,0,135999.2,106666,0,188999,185714,0,228781.34,185000,0,142936.83,132000,0,134537,178986,279166,112143,183529.22,320513,248488.37,242810,225694,0,90000,0,197599,114838,0,0,0,100434.76,0,228400,0,0
9/1/92,195840,219496,0,120588.21,0,0,0,0,107368.05,0,111666.08,97083,0,0,0,212738.06,0,320238,0,111110.56,99374,0,193333,186666,0,224886.29,165560,0,146805.59,131200,0,132948,185909,276666,110556,179841.52,316316,225047.15,244750,245237,0,88332.5,0,198490,115869,0,0,0,91666.5,0,219190,0,0
10/1/92,194000,214925,0,118124.09,0,0,0,0,104126.78,0,110832.79,90588,0,0,0,201149.08,0,333333,0,116665.83,97777,0,186470,192222,0,221800.09,169050,0,141658.8,130000,0,136829,182313,265151,118333,189278.7,315555,239314.51,243530,247595,0,90000,0,199761,117825,0,0,0,98999.1,0,214120,0,0
11/1/92,189670,217514,0,127646.68,0,0,0,0,96606.48,0,115651.39,96666,0,0,0,207082.98,0,330909,0,140000,89582,0,187646,188333,0,221393.99,171250,0,143192.86,130000,0,136703,181709,258019,115416,177853.14,323500,217575.6,239620,234166,0,83333,0,195000,115773,0,0,0,96666,0,221340,0,0
12/1/92,193330,222321,0,109499.53,0,0,0,0,94482.31,0,105789.18,92000,0,0,0,214005.23,0,338000,0,137999.1,110769,0,193333,173749,0,226062.6,162630,0,138242.95,132500,0,134562,180571,258807,107499,181857.14,303571,208607.72,253130,222825,0,100000,0,201712,113721,0,0,0,94499.55,0,217050,0,0
1/1/93,191670,209583,0,113332.67,0,0,0,0,94444,0,109999.5,86071,0,0,0,207810.47,0,310294,0,120000,106999,0,185000,177999,0,213493.95,174170,0,131548.49,129200,0,135444,174895,258772,113333,196819.88,312903,224104.46,246000,244530,0,79165.75,0,194411,96818,0,0,0,95999.4,0,203670,0,0
2/1/93,187440,201699,0,113999.3,0,0,0,0,98999.1,0,114443.72,84000,0,0,0,195680.98,0,323333,0,120000,90833,0,209615,188750,0,210185.52,154610,0,137423.5,125500,0,135000,176960,251667,114285,179858.15,310000,256471.48,242240,243269,0,84999.5,0,191290,113611,0,0,0,109999.5,0,202660,0,0
3/1/93,189130,216313,0,110999.45,0,0,0,0,95178.05,0,104999.75,85000,0,0,0,198013.21,0,330263,0,123333.17,87777,0,219642,174999,0,213593.1,175000,0,136931.96,130000,0,139422,173481,266101,108333,192204.52,313855,219074.06,243510,230921,0,80000,0,190500,116341,0,0,0,87306.96,0,215290,0,0
