Date,FEDFUNDS
1/1/90,8.23
2/1/90,8.24
3/1/90,8.28
4/1/90,8.26
5/1/90,8.18
6/1/90,8.29
7/1/90,8.15
8/1/90,8.13
9/1/90,8.2
10/1/90,8.11
11/1/90,7.81
12/1/90,7.31
1/1/91,6.91
2/1/91,6.25
3/1/91,6.12
4/1/91,5.91
5/1/91,5.78
6/1/91,5.9
7/1/91,5.82
8/1/91,5.66
9/1/91,5.45
10/1/91,5.21
11/1/91,4.81
12/1/91,4.43
1/1/92,4.03
2/1/92,4.06
3/1/92,3.98
4/1/92,3.73
5/1/92,3.82
6/1/92,3.76
7/1/92,3.25
8/1/92,3.3
9/1/92,3.22
10/1/92,3.1
11/1/92,3.09
12/1/92,2.92
1/1/93,3.02
2/1/93,3.03
3/1/93,3.07
4/1/93,2.96
5/1/93,3
6/1/93,3.04
7/1/93,3.06
8/1/93,3.03
9/1/93,3.09
10/1/93,2.99
11/1/93,3.02
12/1/93,2.96
1/1/94,3.05
2/1/94,3.25
3/1/94,3.34
4/1/94,3.56
5/1/94,4.01
6/1/94,4.25
7/1/94,4.26
8/1/94,4.47
9/1/94,4.73
10/1/94,4.76
11/1/94,5.29
12/1/94,5.45
1/1/95,5.53
2/1/95,5.92
3/1/95,5.98
4/1/95,6.05
5/1/95,6.01
6/1/95,6
7/1/95,5.85
8/1/95,5.74
9/1/95,5.8
10/1/95,5.76
11/1/95,5.8
12/1/95,5.6
1/1/96,5.56
2/1/96,5.22
3/1/96,5.31
4/1/96,5.22
5/1/96,5.24
6/1/96,5.27
7/1/96,5.4
8/1/96,5.22
9/1/96,5.3
10/1/96,5.24
11/1/96,5.31
12/1/96,5.29
1/1/97,5.25
2/1/97,5.19
3/1/97,5.39
4/1/97,5.51
5/1/97,5.5
6/1/97,5.56
7/1/97,5.52
8/1/97,5.54
9/1/97,5.54
10/1/97,5.5
11/1/97,5.52
12/1/97,5.5
1/1/98,5.56
2/1/98,5.51
3/1/98,5.49
4/1/98,5.45
5/1/98,5.49
6/1/98,5.56
7/1/98,5.54
8/1/98,5.55
9/1/98,5.51
10/1/98,5.07
11/1/98,4.83
12/1/98,4.68
1/1/99,4.63
2/1/99,4.76
3/1/99,4.81
4/1/99,4.74
5/1/99,4.74
6/1/99,4.76
7/1/99,4.99
8/1/99,5.07
9/1/99,5.22
10/1/99,5.2
11/1/99,5.42
12/1/99,5.3
1/1/00,5.45
2/1/00,5.73
3/1/00,5.85
4/1/00,6.02
5/1/00,6.27
6/1/00,6.53
7/1/00,6.54
8/1/00,6.5
9/1/00,6.52
10/1/00,6.51
11/1/00,6.51
12/1/00,6.4
1/1/01,5.98
2/1/01,5.49
3/1/01,5.31
4/1/01,4.8
5/1/01,4.21
6/1/01,3.97
7/1/01,3.77
8/1/01,3.65
9/1/01,3.07
10/1/01,2.49
11/1/01,2.09
12/1/01,1.82
1/1/02,1.73
2/1/02,1.74
3/1/02,1.73
4/1/02,1.75
5/1/02,1.75
6/1/02,1.75
7/1/02,1.73
8/1/02,1.74
9/1/02,1.75
10/1/02,1.75
11/1/02,1.34
12/1/02,1.24
1/1/03,1.24
2/1/03,1.26
3/1/03,1.25
4/1/03,1.26
5/1/03,1.26
6/1/03,1.22
7/1/03,1.01
8/1/03,1.03
9/1/03,1.01
10/1/03,1.01
11/1/03,1
12/1/03,0.98
1/1/04,1
2/1/04,1.01
3/1/04,1
4/1/04,1
5/1/04,1
6/1/04,1.03
7/1/04,1.26
8/1/04,1.43
9/1/04,1.61
10/1/04,1.76
11/1/04,1.93
12/1/04,2.16
1/1/05,2.28
2/1/05,2.5
3/1/05,2.63
4/1/05,2.79
5/1/05,3
6/1/05,3.04
7/1/05,3.26
8/1/05,3.5
9/1/05,3.62
10/1/05,3.78
11/1/05,4
12/1/05,4.16
1/1/06,4.29
2/1/06,4.49
3/1/06,4.59
4/1/06,4.79
5/1/06,4.94
6/1/06,4.99
7/1/06,5.24
8/1/06,5.25
9/1/06,5.25
10/1/06,5.25
11/1/06,5.25
12/1/06,5.24
1/1/07,5.25
2/1/07,5.26
3/1/07,5.26
4/1/07,5.25
5/1/07,5.25
6/1/07,5.25
7/1/07,5.26
8/1/07,5.02
9/1/07,4.94
10/1/07,4.76
11/1/07,4.49
12/1/07,4.24
1/1/08,3.94
2/1/08,2.98
3/1/08,2.61
4/1/08,2.28
5/1/08,1.98
6/1/08,2
7/1/08,2.01
8/1/08,2
9/1/08,1.81
10/1/08,0.97
11/1/08,0.39
12/1/08,0.16
1/1/09,0.15
2/1/09,0.22
3/1/09,0.18
4/1/09,0.15
5/1/09,0.18
6/1/09,0.21
7/1/09,0.16
8/1/09,0.16
9/1/09,0.15
10/1/09,0.12
11/1/09,0.12
