Date,GDP
1/1/90,5872.701
4/1/90,5960.028
7/1/90,6015.116
10/1/90,6004.733
1/1/91,6035.178
4/1/91,6126.862
7/1/91,6205.937
10/1/91,6264.54
1/1/92,6363.102
4/1/92,6470.763
7/1/92,6566.641
10/1/92,6680.803
1/1/93,6729.459
4/1/93,6808.939
7/1/93,6882.098
10/1/93,7013.738
1/1/94,7115.652
4/1/94,7246.931
7/1/94,7331.075
10/1/94,7455.288
1/1/95,7522.289
4/1/95,7580.997
7/1/95,7683.125
10/1/95,7772.586
1/1/96,7868.468
4/1/96,8032.84
7/1/96,8131.408
10/1/96,8259.771
1/1/97,8362.655
4/1/97,8518.825
7/1/97,8662.823
10/1/97,8765.907
1/1/98,8866.48
4/1/98,8969.699
7/1/98,9121.097
10/1/98,9293.991
1/1/99,9411.682
4/1/99,9526.21
7/1/99,9686.626
10/1/99,9900.169
1/1/00,10002.179
4/1/00,10247.72
7/1/00,10318.165
10/1/00,10435.744
1/1/01,10470.231
4/1/01,10599
7/1/01,10598.02
10/1/01,10660.465
1/1/02,10783.5
4/1/02,10887.46
7/1/02,10984.04
10/1/02,11061.433
1/1/03,11174.129
4/1/03,11312.766
7/1/03,11566.669
10/1/03,11772.234
1/1/04,11923.447
4/1/04,12112.815
7/1/04,12305.307
10/1/04,12527.214
1/1/05,12767.286
4/1/05,12922.656
7/1/05,13142.642
10/1/05,13324.204
1/1/06,13599.16
4/1/06,13753.424
7/1/06,13870.188
10/1/06,14039.56
1/1/07,14215.651
4/1/07,14402.082
7/1/07,14564.117
10/1/07,14715.058
1/1/08,14706.538
4/1/08,14865.701
7/1/08,14898.999
10/1/08,14608.209
1/1/09,14430.902
4/1/09,14381.236
7/1/09,14448.882
10/1/09,14651.249
1/1/10,14764.61
4/1/10,14980.193
7/1/10,15141.607
10/1/10,15309.474
1/1/11,15351.448
4/1/11,15557.539
7/1/11,15647.68
10/1/11,15842.259
1/1/12,16068.805
4/1/12,16207.115
7/1/12,16319.541
10/1/12,16420.419
1/1/13,16648.189
4/1/13,16728.687
7/1/13,16953.838
10/1/13,17192.019
1/1/14,17197.738
4/1/14,17518.508
7/1/14,17804.228
10/1/14,17912.079
1/1/15,18063.529
4/1/15,18279.784
7/1/15,18401.626
10/1/15,18435.137
1/1/16,18525.933
4/1/16,18711.702
7/1/16,18892.639
10/1/16,19089.379
1/1/17,19280.084
4/1/17,19438.643
7/1/17,19692.595
10/1/17,20037.088
1/1/18,20328.553
4/1/18,20580.912
7/1/18,20798.73
10/1/18,20917.867
1/1/19,21104.133
4/1/19,21384.775
7/1/19,21694.282
10/1/19,21902.39
1/1/20,21706.513
4/1/20,19913.143
7/1/20,21647.64
10/1/20,22024.502
1/1/21,22600.185
4/1/21,23292.362
7/1/21,23828.973
10/1/21,24654.603
1/1/22,25029.116
4/1/22,25544.273
7/1/22,25994.639
10/1/22,26408.405
1/1/23,26813.601
4/1/23,27063.012
