county_name,MedianhomePrice2023,Monthlypayment2023
Alameda,1077467,6047
Alpine,451927,2536
Amador,417632,2344
Butte,414146,2324
Calaveras,423726,2378
Colusa,359080,2015
Contra Costa,875183,4911
Del Norte,284083,1594
El Dorado,718365,4031
Fresno,424915,2385
Glenn,313729,1761
Humboldt,447506,2511
Imperial,312673,1805
Inyo,348206,1954
Kern,361090,2026
Kings,372628,2091
Lake,350835,1969
Lassen,252491,1417
Los Angeles,890716,4999
Madera,443842,2491
Marin,1473514,8269
Mariposa,361589,2029
Mendocino,501398,2814
Merced,430766,2417
Modoc,182109,1022
Mono,466147,2616
Monterey,836922,4697
Napa,879340,4935
Nevada,687450,3858
Orange,1029214,5776
Placer,740068,4153
Plumas,321320,1803
Riverside,609299,3419
Sacramento,550422,3089
San Benito,811499,4554
San Bernardino,571856,3209
San Diego,934402,5244
San Francisco,1464880,8221
San Joaquin,553133,3104
San Luis Obispo,882047,4950
San Mateo,1582169,8879
Santa Barbara,863274,4839
Santa Clara,1512497,8488
Santa Cruz,1082135,6073
Shasta,403179,2263
Sierra,276509,1552
Siskiyou,274359,1540
Solano,633442,3555
Sonoma,818928,4596
Stanislaus,486386,2730
Sutter,429333,2409
Tehama,325861,1829
Trinity,359438,2017
Tulare,356334,2000
Tuolumne,398513,2236
Ventura,872457,4896
Yolo,630856,3540
Yuba,438189,2459
